Actual_Sales,Predicted_Sales
8331,10081.602
12043,9334.296
5111,5390.509
6131,5478.873
4328,4728.0024
4581,4991.36
4901,5622.0835
11948,7171.1187
5630,5812.436
5871,6649.7812
3488,4823.8223
4864,5112.685
5009,5609.3926
7826,5465.27
7820,6298.1157
6998,5866.9863
5317,4404.4355
6891,6057.2114
3632,5208.879
8389,6403.743
6573,6159.84
5384,6115.3496
6310,5208.881
9587,5655.7896
6750,6231.5903
5566,5171.719
5794,6106.472
7792,8053.9272
6639,5846.713
4636,3724.3855
5446,5585.9253
2797,5969.418
4749,6052.4014
8965,6391.5693
8329,6075.1025
7191,5769.3853
5659,5973.2188
7205,6586.467
4666,5530.3423
4118,5427.145
3779,5889.1367
5929,6222.0015
5411,6133.1577
5034,5373.28
2838,4433.469
11721,8649.274
3976,7749.432
5800,6415.768
18164,11970.965
3961,6991.742
7461,6083.8135
7518,6546.26
7001,6943.5044
8582,7269.4243
6659,7233.438
9708,7810.9897
3011,5364.1035
4325,4751.249
5560,5439.9385
7410,7007.6055
2808,3722.272
3829,5576.34
3957,5140.83
4841,4975.0728
5186,4117.2676
4959,6104.5376
2739,4337.727
5428,5424.339
4826,4679.9077
2623,4525.136
2905,3779.655
4718,5454.859
3718,3723.312
4560,4371.404
4866,5069.7905
5126,5484.487
7974,6903.407
10280,7532.294
4879,5776.531
6850,5861.938
5905,6045.314
8437,7345.3564
5963,6179.5903
2443,3956.831
4076,5090.742
4314,4665.3135
12492,7432.465
3773,4432.587
9412,7301.2847
6547,5333.5264
1941,4983.3213
3747,4855.928
5396,7035.5977
6280,5685.034
5015,6186.8457
8842,6701.948
8581,6556.4746
6528,6205.343
4542,4599.2456
10637,5334.64
2386,3633.1538
3571,5466.889
8192,6681.1035
3388,6145.9893
5275,4852.307
3595,5413.077
6892,5539.2417
4298,5791.2017
3854,5849.6675
14849,7721.165
11125,6595.547
2701,5463.713
4982,5734.526
5807,5671.5557
8622,6978.3584
8384,6503.957
4907,4688.4688
4637,5519.224
10044,6188.1797
2017,3096.9849
7205,6238.076
5692,6102.451
3821,6271.9546
8785,5899.6147
4992,6723.666
2012,2472.1445
5434,5640.107
2800,2892.2954
4530,5063.856
14740,6200.4604
7043,6483.8726
4478,5730.759
12777,9307.994
9950,6446.256
13069,7609.7524
14420,10869.039
6976,5671.765
4539,5664.475
2249,4222.123
5423,5546.2266
7010,6541.0884
2091,5715.695
5571,6179.1216
5408,5834.496
8093,5728.835
2466,4943.2114
3900,6088.9277
10524,5692.099
1348,4653.6997
9018,4868.844
4872,5519.0923
2581,4347.328
6465,5783.5938
3541,4959.708
2850,4324.1216
9899,5266.5767
6491,6018.502
6470,5148.0737
6610,6409.545
4675,7080.2344
3955,5689.5317
7128,6423.569
7176,5656.056
7753,4473.983
4184,6190.2915
5507,6245.996
4535,5656.056
9632,7377.3525
5275,6444.82
6450,6315.715
3221,4999.468
5711,5068.57
7567,5412.606
4339,5753.5703
4340,4976.1074
4890,5350.4297
4915,4420.205
4606,5862.4087
17878,10000.513
4635,6562.521
9553,6488.1084
4116,4401.413
3520,4603.106
5972,5513.0835
5784,5494.099
2968,4447.822
5850,5196.1875
7821,6026.926
22175,13789.983
6738,6224.079
11338,7509.9907
6422,7368.636
10380,7252.724
8897,7443.8467
7521,7024.824
5876,5110.725
3628,5409.1953
9358,6594.794
6264,6361.5327
7277,6262.888
5439,4993.557
5324,5806.593
4523,4757.5513
2593,4392.195
12438,6292.9243
4001,5893.071
5493,5455.1343
5538,4671.19
1867,4739.577
9070,9628.456
7820,7067.32
11712,9622.834
4927,6323.8696
3528,5606.668
3890,4369.8237
6067,6411.827
4806,4549.269
4096,4740.5674
8265,5756.5845
3601,5951.1514
5182,4969.493
3988,6161.742
4124,5444.651
3487,3897.0522
1408,5283.3833
13553,9059.775
4611,5445.5527
13829,13630.498
5028,4465.4736
5759,6266.4497
5038,6038.012
3620,3569.3972
3822,4826.3003
4748,5824.035
2939,4192.944
3852,4446.7583
9029,5550.152
5932,6242.462
3069,4446.4907
7144,5942.0825
2774,3626.9739
6563,6156.6104
3841,4450.4614
9836,6385.629
8485,6588.2876
9523,6961.6387
2129,4145.0596
6001,5541.773
2342,4225.0503
4206,5192.971
4684,6167.3525
15863,8913.287
8976,7334.841
4785,6257.78
2378,6005.474
4885,6029.5376
4122,4824.323
2617,4098.566
8899,6147.652
1893,4636.328
15461,8663.6875
3715,4323.098
4428,5206.152
6732,5095.3965
12487,7375.2856
7296,6346.4688
4964,5408.89
4879,4291.611
5395,4912.4824
8530,5905.425
5546,5747.8525
3389,4226.6855
1266,4169.918
3608,4900.5728
2738,3832.0251
2890,4043.03
6544,4346.7783
6024,5938.162
6113,6172.121
4948,5023.6826
9335,5999.331
6190,5365.3174
2698,5356.648
7023,6306.9146
2478,4563.466
8485,6169.1963
5355,4789.954
2876,4645.8853
4515,4850.891
4121,5109.0454
3782,5004.9697
7749,6595.8237
6547,6255.8564
3443,4736.9927
8408,5399.6343
2442,4865.8945
4573,6033.9785
7029,4856.2446
9230,5957.8945
3343,5375.7515
2300,3154.0107
4888,6000.497
8428,6713.6807
6631,5856.9287
2859,4306.513
11345,7686.5103
3249,4230.1147
2932,6006.8516
6067,5751.9126
10145,6379.9653
11499,7506.2627
4606,3979.0537
4732,4718.952
6182,5580.866
1204,3272.1035
6808,4297.468
7449,6016.4307
4424,4291.61
3993,5603.484
2386,5300.5117
7225,5993.7744
2860,3950.0872
4479,5143.7256
4103,5592.857
3523,4826.5513
2863,4319.583
7793,5649.556
6832,6086.8447
2776,4332.5703
3062,5189.027
5879,6266.9966
6964,6408.6616
8628,6675.4272
7790,6417.3926
4590,5332.133
5721,4673.623
5344,4979.3843
9281,6474.9233
5722,6125.051
4962,5465.7827
3052,4510.9214
